FilesLinesWithoutValidation;100;1.728;629.1456
BufferReaderWithoutValidation;100;1.304;870.97815
FilesLinesCase;100;1.27;619.4311
FileReaderCase;100;1.369;1660.9443
FileReaderWithoutValidation;100;1.493;593.4159
CSVReaderWithoutValidation;100;2.127;1277.1813
BufferReaderCase;100;1.199;1761.6077
ScannerWithoutValidation;100;1.91;604.86804
ScannerCase;100;1.581;2214.5925
CSVReaderCase;100;1.605;1694.4988
ScannerWithoutValidation;250;4.45;1686.1102
BufferReaderCase;250;3.44;1115.6848
FileReaderWithoutValidation;250;4.044;1774.1906
FileReaderCase;250;3.439;2202.0095
ScannerCase;250;4.294;2172.6494
FilesLinesCase;250;3.339;2382.3647
FilesLinesWithoutValidation;250;3.331;2919.2356
BufferReaderWithoutValidation;250;3.467;1577.0583
CSVReaderCase;250;4.108;2348.8103
CSVReaderWithoutValidation;250;5.458;2034.2374
CSVReaderCase;500;8.585;2650.8
FilesLinesCase;500;7.16;2873.0981
ScannerWithoutValidation;500;9.331;3089.6062
BufferReaderCase;500;7.031;2873.0981
FileReaderCase;500;7.303;2738.8806
BufferReaderWithoutValidation;500;7.413;2771.094
ScannerCase;500;8.881;3548.381
FileReaderWithoutValidation;500;8.248;3405.6362
CSVReaderWithoutValidation;500;11.621;2755.6533
FilesLinesWithoutValidation;500;7.329;3720.3455
ScannerWithoutValidation;1000;19.973;6122.288
FileReaderCase;1000;15.227;4848.615
BufferReaderCase;1000;15.005;5448.401
ScannerCase;1000;19.001;4185.905
CSVReaderWithoutValidation;1000;24.635;6345.84
FileReaderWithoutValidation;1000;18.449;6098.365
FilesLinesWithoutValidation;1000;17.0;6054.131
CSVReaderCase;1000;18.383;4701.809
FilesLinesCase;1000;15.645;5213.4224
BufferReaderWithoutValidation;1000;15.946;6723.4644
FileReaderCase;2000;32.949;9290.377
ScannerCase;2000;41.259;8991.523
FilesLinesCase;2000;34.73;9193.87
CSVReaderWithoutValidation;2000;51.425;10261.217
BufferReaderWithoutValidation;2000;34.947;9755.255
FileReaderWithoutValidation;2000;38.433;10525.458
BufferReaderCase;2000;34.507;8463.432
FilesLinesWithoutValidation;2000;35.731;11286.389
CSVReaderCase;2000;39.389;9222.793
ScannerWithoutValidation;2000;41.083;10590.138
FilesLinesCase;4000;71.458;16529.307
FilesLinesWithoutValidation;4000;81.935;16710.393
ScannerWithoutValidation;4000;97.442;15974.486
ScannerCase;4000;86.661;16325.747
BufferReaderCase;4000;70.648;16521.63
BufferReaderWithoutValidation;4000;83.289;16265.774
CSVReaderCase;4000;84.193;16576.3
FileReaderCase;4000;72.113;16699.566
CSVReaderWithoutValidation;4000;114.238;16048.836
FileReaderWithoutValidation;4000;87.01;16689.264
BufferReaderCase;100;1.216;1761.6077
CSVReaderWithoutValidation;100;2.091;654.12994
FileReaderCase;100;1.246;1065.2903
FilesLinesCase;100;1.223;1113.6812
CSVReaderCase;100;1.538;1085.0574
FilesLinesWithoutValidation;100;1.347;846.49164
FileReaderWithoutValidation;100;1.437;835.6701
BufferReaderWithoutValidation;100;1.315;635.4999
ScannerWithoutValidation;100;1.643;1008.873
ScannerCase;100;1.676;700.9961
FileReaderWithoutValidation;250;3.864;1853.8823
CSVReaderWithoutValidation;250;5.5;1870.6141
CSVReaderCase;250;4.195;2139.095
BufferReaderWithoutValidation;250;3.475;1609.3043
FilesLinesCase;250;3.403;1094.7104
BufferReaderCase;250;3.32;2052.9285
ScannerCase;250;4.315;1350.1587
FilesLinesWithoutValidation;250;3.634;1795.1105
FileReaderCase;250;3.356;2071.986
ScannerWithoutValidation;250;4.419;2384.6052
ScannerCase;500;8.812;2717.7632
CSVReaderCase;500;8.512;2793.4062
FileReaderCase;500;7.086;3191.8252
FilesLinesWithoutValidation;500;7.649;3497.653
ScannerWithoutValidation;500;9.214;2713.5598
CSVReaderWithoutValidation;500;11.303;3309.1042
FilesLinesCase;500;7.138;3345.5386
BufferReaderWithoutValidation;500;7.639;3035.9065
BufferReaderCase;500;7.062;2201.9927
FileReaderWithoutValidation;500;8.684;3162.442
FileReaderWithoutValidation;1000;18.274;4794.8965
FilesLinesCase;1000;15.728;4516.7407
BufferReaderWithoutValidation;1000;16.545;5622.358
ScannerWithoutValidation;1000;19.826;5434.6157
CSVReaderCase;1000;18.358;4789.869
ScannerCase;1000;19.071;4307.5015
CSVReaderWithoutValidation;1000;23.882;5262.6885
FilesLinesWithoutValidation;1000;15.965;5570.035
FileReaderCase;1000;15.409;4550.82
