Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
ScannerWithoutValidation;500mb;10,33;1 703,94
FileReaderWithoutValidation;500mb;7,63;1 628,24
FileReaderCase;500mb;6,98;1 127,58
FilesLinesCase;500mb;6,94;978,66
CSVReaderCase;500mb;8,28;1 953,56
BufferReaderCase;500mb;6,95;1 017,17
ScannerCase;500mb;9,71;1 025,05
CSVReaderWithoutValidation;500mb;11,05;2 645,31
CSVReaderCase;1gb;17,81;2 995,23
ScannerCase;1gb;20,16;5 532,29
CSVReaderWithoutValidation;1gb;22,95;4 016,80
BufferReaderCase;1gb;14,52;4 525,65
BufferReaderWithoutValidation;1gb;15,01;7 088,37
FileReaderWithoutValidation;1gb;15,83;6 828,33
FilesLinesWithoutValidation;1gb;15,40;3 091,95
FilesLinesCase;1gb;14,87;1 274,04
FileReaderCase;1gb;14,98;2 803,68
ScannerWithoutValidation;1gb;21,36;3 189,55
FilesLinesWithoutValidation;2gb;34,50;7 840,83
ScannerWithoutValidation;2gb;46,62;4 694,61
FilesLinesCase;2gb;33,79;4 111,32
FileReaderWithoutValidation;2gb;34,95;3 470,74
FileReaderCase;2gb;33,44;3 280,73
BufferReaderWithoutValidation;2gb;34,93;5 649,50
CSVReaderWithoutValidation;2gb;47,84;4 501,13
BufferReaderCase;2gb;31,07;3 857,82
CSVReaderCase;2gb;37,83;3 270,63
ScannerCase;2gb;42,76;2 870,43
CSVReaderCase;4gb;80,14;10 736,00
FilesLinesWithoutValidation;4gb;84,47;3 871,16
BufferReaderWithoutValidation;4gb;80,83;3 753,65
BufferReaderCase;4gb;69,60;4 127,15
FileReaderCase;4gb;70,87;4 642,70
ScannerWithoutValidation;4gb;104,14;4 650,16
FilesLinesCase;4gb;73,33;3 621,42
FileReaderWithoutValidation;4gb;82,48;4 654,20
ScannerCase;4gb;92,00;4 434,59
CSVReaderWithoutValidation;4gb;109,88;4 842,99
