Algorytm;Rozmiar;Czas [ms];Pamięć [MB]
ScannerWithoutValidation;100mb;1,94;315,02
CSVReaderCase;100mb;1,50;880,58
CSVReaderCase;250mb;4,05;1 111,66
BufferReaderCase;250mb;3,17;1 344,61
ScannerCase;250mb;4,78;945,87
FilesLinesWithoutValidation;250mb;3,52;1 012,40
BufferReaderWithoutValidation;250mb;3,38;1 276,69
FilesLinesCase;250mb;3,24;696,98
FileReaderWithoutValidation;250mb;3,41;1 700,05
CSVReaderWithoutValidation;250mb;5,27;2 446,19
ScannerWithoutValidation;250mb;4,98;1 742,83
FileReaderCase;250mb;3,23;781,58
FilesLinesCase;500mb;6,72;2 534,87
FileReaderCase;500mb;6,88;1 377,85
BufferReaderCase;500mb;6,88;1 318,25
CSVReaderWithoutValidation;500mb;11,10;1 289,29
CSVReaderCase;500mb;8,43;1 845,83
FilesLinesWithoutValidation;500mb;7,53;1 941,59
ScannerWithoutValidation;500mb;10,31;2 158,05
BufferReaderWithoutValidation;500mb;7,38;2 488,77
FileReaderWithoutValidation;500mb;7,53;2 143,44
ScannerCase;500mb;9,73;1 237,65
BufferReaderWithoutValidation;1gb;16,12;4 172,91
BufferReaderCase;1gb;14,95;2 252,17
ScannerWithoutValidation;1gb;22,24;3 558,17
CSVReaderWithoutValidation;1gb;23,65;2 241,62
FileReaderCase;1gb;15,32;1 764,20
FileReaderWithoutValidation;1gb;16,36;2 350,87
FilesLinesCase;1gb;15,48;2 785,76
FilesLinesWithoutValidation;1gb;16,06;2 933,69
ScannerCase;1gb;20,78;2 398,89
CSVReaderCase;1gb;17,96;1 847,19
CSVReaderCase;2gb;38,29;6 117,27
ScannerWithoutValidation;2gb;47,04;4 347,33
FileReaderWithoutValidation;2gb;35,49;4 577,27
CSVReaderWithoutValidation;2gb;49,12;4 663,73
BufferReaderCase;2gb;32,83;2 500,09
FilesLinesCase;2gb;33,17;3 145,53
ScannerCase;2gb;44,22;2 555,65
BufferReaderWithoutValidation;2gb;33,63;4 581,53
FileReaderCase;2gb;33,67;2 512,06
FilesLinesWithoutValidation;2gb;34,04;4 387,40
ScannerWithoutValidation;4gb;106,28;9 783,37
CSVReaderCase;4gb;83,64;4 590,81
FileReaderCase;4gb;68,78;4 368,47
ScannerCase;4gb;93,35;4 394,11
FilesLinesWithoutValidation;4gb;79,09;4 632,89
BufferReaderWithoutValidation;4gb;80,28;4 008,93
FileReaderWithoutValidation;4gb;80,05;4 602,62
FilesLinesCase;4gb;70,06;4 707,48
BufferReaderCase;4gb;67,90;4 517,49
CSVReaderWithoutValidation;4gb;108,20;4 858,43
ScannerWithoutValidation;100mb;1,95;1 976,36
CSVReaderCase;100mb;1,46;916,41
BufferReaderWithoutValidation;100mb;1,30;500,85
CSVReaderWithoutValidation;100mb;2,09;336,55
ScannerCase;100mb;1,78;1 412,72
FilesLinesCase;100mb;1,18;910,16
FileReaderWithoutValidation;100mb;1,37;264,82
BufferReaderCase;100mb;1,14;900,24
FilesLinesWithoutValidation;100mb;1,33;875,52
FileReaderCase;100mb;1,21;848,40
FilesLinesWithoutValidation;250mb;3,39;2 043,08
CSVReaderWithoutValidation;250mb;5,44;1 254,90
BufferReaderCase;250mb;3,15;1 309,60
CSVReaderCase;250mb;3,91;1 172,07
FilesLinesCase;250mb;3,25;1 848,51
FileReaderCase;250mb;3,23;986,62
ScannerWithoutValidation;250mb;4,74;1 860,08
BufferReaderWithoutValidation;250mb;3,40;1 958,74
ScannerCase;250mb;4,75;1 463,02
FileReaderWithoutValidation;250mb;3,49;1 667,44
FileReaderWithoutValidation;500mb;7,79;2 862,73
FilesLinesWithoutValidation;500mb;7,55;1 648,97
CSVReaderCase;500mb;8,45;3 040,87
FileReaderCase;500mb;6,87;1 666,11
FilesLinesCase;500mb;6,98;1 956,16
ScannerWithoutValidation;500mb;10,40;2 338,40
BufferReaderCase;500mb;6,92;797,07
CSVReaderWithoutValidation;500mb;11,14;1 829,74
BufferReaderWithoutValidation;500mb;7,19;3 640,61
ScannerCase;500mb;9,67;1 855,00
ScannerWithoutValidation;1gb;21,54;5 378,76
ScannerCase;1gb;20,43;5 909,77
FilesLinesCase;1gb;14,37;5 045,75
FileReaderWithoutValidation;1gb;15,83;1 914,17
BufferReaderWithoutValidation;1gb;15,33;6 371,15
FilesLinesWithoutValidation;1gb;15,36;6 778,00
FileReaderCase;1gb;15,02;4 592,76
CSVReaderCase;1gb;17,42;4 303,36
CSVReaderWithoutValidation;1gb;22,64;7 440,70
BufferReaderCase;1gb;14,35;4 487,91
BufferReaderCase;2gb;32,15;5 437,64
FilesLinesCase;2gb;31,94;3 798,54
ScannerCase;2gb;43,37;3 212,13
FilesLinesWithoutValidation;2gb;32,81;4 187,21
ScannerWithoutValidation;2gb;44,44;7 351,41
BufferReaderWithoutValidation;2gb;32,18;4 898,83
CSVReaderCase;2gb;37,71;3 329,65
FileReaderCase;2gb;31,62;3 329,39
CSVReaderWithoutValidation;2gb;47,53;3 949,35
FileReaderWithoutValidation;2gb;34,58;3 801,43
FileReaderCase;4gb;69,00;10 733,83
CSVReaderCase;4gb;85,04;4 355,77
FileReaderWithoutValidation;4gb;79,98;4 871,39
CSVReaderWithoutValidation;4gb;112,47;3 884,91
FilesLinesWithoutValidation;4gb;81,30;3 875,11
ScannerCase;4gb;92,24;4 504,83
FilesLinesCase;4gb;68,97;4 392,76
BufferReaderWithoutValidation;4gb;81,34;3 952,88
BufferReaderCase;4gb;71,45;3 222,56
ScannerWithoutValidation;4gb;105,86;4 100,47
BufferReaderCase;100mb;1,30;1 115,68
FileReaderCase;100mb;1,17;851,85
FilesLinesWithoutValidation;100mb;1,30;602,64
FileReaderWithoutValidation;100mb;1,35;503,97
CSVReaderWithoutValidation;100mb;2,14;588,09
BufferReaderWithoutValidation;100mb;1,24;576,43
ScannerWithoutValidation;100mb;1,89;442,42
CSVReaderCase;100mb;1,46;886,28
FilesLinesCase;100mb;1,22;1 104,66
ScannerCase;100mb;1,75;1 212,45
FilesLinesWithoutValidation;250mb;3,56;1 724,16
CSVReaderCase;250mb;4,07;516,20
ScannerCase;250mb;4,75;1 664,33
FileReaderCase;250mb;3,23;1 038,11
FilesLinesCase;250mb;3,26;1 132,40
FileReaderWithoutValidation;250mb;3,56;2 545,94
BufferReaderCase;250mb;3,20;1 407,79
CSVReaderWithoutValidation;250mb;5,26;2 388,04
ScannerWithoutValidation;250mb;4,82;1 378,31
BufferReaderWithoutValidation;250mb;3,46;1 627,39
ScannerWithoutValidation;500mb;10,27;3 315,49
BufferReaderWithoutValidation;500mb;7,35;2 037,08
FilesLinesWithoutValidation;500mb;7,25;3 389,00
ScannerCase;500mb;9,57;1 986,43
FilesLinesCase;500mb;7,08;1 117,68
FileReaderCase;500mb;6,88;1 808,45
CSVReaderCase;500mb;8,45;1 066,45
BufferReaderCase;500mb;6,78;1 192,65
CSVReaderWithoutValidation;500mb;11,16;2 073,73
FileReaderWithoutValidation;500mb;7,53;3 254,78
FilesLinesWithoutValidation;1gb;15,93;4 836,44
BufferReaderWithoutValidation;1gb;15,57;3 410,50
ScannerWithoutValidation;1gb;21,45;3 754,25
ScannerCase;1gb;19,98;5 813,31
FileReaderWithoutValidation;1gb;15,68;3 192,64
